"","month_date","pr_mean"
"1",2009-01-31,4.91195189533755
"2",2009-02-28,9.46393679041648
"3",2009-03-31,15.5372372682905
"4",2009-04-30,27.3971559188794
"5",2009-05-31,140.118216304109
"6",2009-06-30,78.2899476354942
"7",2009-07-31,80.9236096101813
"8",2009-08-31,112.815411016345
"9",2009-09-30,15.6719969760161
"10",2009-10-31,12.7463553595589
"11",2009-11-30,3.3865356563183
"12",2009-12-31,9.93553907173919
"13",2010-01-31,27.5061326305149
"14",2010-02-28,17.6698417097214
"15",2010-03-31,2.56362418494973
"16",2010-04-30,35.5050654150546
"17",2010-05-31,176.164441276342
"18",2010-06-30,65.8108525851276
"19",2010-07-31,91.5090257534757
"20",2010-08-31,54.0833018138073
"21",2010-09-30,32.3533630056772
"22",2010-10-31,20.1302315545036
"23",2010-11-30,20.1791381521616
"24",2010-12-31,1.23596192142941
"25",2011-01-31,15.4614847182529
"26",2011-02-28,35.8164102392038
"27",2011-03-31,10.9482306594145
"28",2011-04-30,46.0890199639834
"29",2011-05-31,81.3741380581632
"30",2011-06-30,112.596132257022
"31",2011-07-31,196.62559311837
"32",2011-08-31,106.603709456977
"33",2011-09-30,54.8890684149228
"34",2011-10-31,16.7851599748246
"35",2011-11-30,3.31649773397658
"36",2011-12-31,3.09787881378725
"37",2012-01-31,28.9813127514208
"38",2012-02-29,7.23677014029818
"39",2012-03-31,34.6547774708597
"40",2012-04-30,37.8410345641896
"41",2012-05-31,62.1290148119442
"42",2012-06-30,165.81664737314
"43",2012-07-31,80.8358969748951
"44",2012-08-31,191.159448958933
"45",2012-09-30,9.08020014030626
"46",2012-10-31,14.1338226094376
"47",2012-11-30,8.46221918327501
"48",2012-12-31,17.9134738136781
"49",2013-01-31,7.48753688749275
"50",2013-02-28,19.1838944650954
"51",2013-03-31,61.9894716830458
"52",2013-04-30,16.125183168333
"53",2013-05-31,105.351799190976
"54",2013-06-30,91.2551892455667
"55",2013-07-31,48.5932388983201
"56",2013-08-31,105.124541069381
"57",2013-09-30,17.3199460376054
"58",2013-10-31,27.0157354243565
"59",2013-11-30,14.7120665875264
"60",2013-12-31,3.54840686395619
"61",2014-01-31,14.4687283347594
"62",2014-02-28,6.02972840497387
"63",2014-03-31,17.2356886585476
"64",2014-04-30,12.3843382374616
"65",2014-05-31,37.9480173782213
"66",2014-06-30,75.6285106530413
"67",2014-07-31,159.215811872855
"68",2014-08-31,60.2471620892175
"69",2014-09-30,26.0581968643237
"70",2014-10-31,6.5187023836188
"71",2014-11-30,1.22772216109297
"72",2014-12-31,6.3911192220985
"73",2015-01-31,42.6526468276279
"74",2015-02-28,8.82388505124254
"75",2015-03-31,49.402593477862
"76",2015-04-30,25.4278565946152
"77",2015-05-31,75.9717873064801
"78",2015-06-30,128.292844793759
"79",2015-07-31,61.3993972772732
"80",2015-08-31,39.3035898101516
"81",2015-09-30,38.0964665673673
"82",2015-10-31,11.3748365794891
"83",2015-11-30,3.22174074426584
"84",2015-12-31,22.9649696630077
"85",2016-01-31,2.73506408402682
"86",2016-02-29,12.888099337215
"87",2016-03-31,57.4044496868737
"88",2016-04-30,59.420928923646
"89",2016-05-31,155.651460355148
"90",2016-06-30,60.4344177874736
"91",2016-07-31,62.8785656648688
"92",2016-08-31,66.6143593727611
"93",2016-09-30,45.672913006274
"94",2016-10-31,28.6623558495194
"95",2016-11-30,78.2775863190182
"96",2016-12-31,5.00763911913964
"97",2017-01-31,3.39690180808248
"98",2017-02-28,6.00765750496066
"99",2017-03-31,9.60860713194052
"100",2017-04-30,21.4109800203005
"101",2017-05-31,63.2932105567306
"102",2017-06-30,71.9865418737754
"103",2017-07-31,123.149650753476
"104",2017-08-31,149.663027236238
"105",2017-09-30,79.7731019323692
"106",2017-10-31,14.1178744932404
"107",2017-11-30,6.01501468772767
"108",2017-12-31,15.7405733334599
"109",2018-01-31,7.51145873764472
"110",2018-02-28,12.5979831987934
"111",2018-03-31,41.8472779216245
"112",2018-04-30,38.5496522882022
"113",2018-05-31,72.9137782822363
"114",2018-06-30,28.2623287872411
"115",2018-07-31,78.6470471997745
"116",2018-08-31,197.933318372816
"117",2018-09-30,116.926115937531
"118",2018-10-31,18.4517156041693
"119",2018-11-30,6.78543074318441
"120",2018-12-31,0.789420834007615
"121",2019-01-31,5.34254496233189
"122",2019-02-28,28.8861961977091
"123",2019-03-31,64.3776668992359
"124",2019-04-30,23.236083984375
"125",2019-05-31,146.038869163021
"126",2019-06-30,78.722534305416
"127",2019-07-31,72.7144318982027
"128",2019-08-31,61.7063943296671
"129",2019-09-30,93.566437647678
"130",2019-10-31,19.7155859554186
"131",2019-11-30,5.07568364482722
"132",2019-12-31,6.06817423031316
"133",2020-01-31,10.0910310829931
"134",2020-02-29,42.9049262660556
"135",2020-03-31,23.6746506969212
"136",2020-04-30,65.9056105767377
"137",2020-05-31,101.799405401107
"138",2020-06-30,150.375367782544
"139",2020-07-31,87.4542716075666
"140",2020-08-31,113.066594966222
"141",2020-09-30,30.0338745117188
"142",2020-10-31,26.9918128964491
"143",2020-11-30,3.06106558346073
"144",2020-12-31,11.2871232369798
"145",2021-01-31,26.4735065458808
"146",2021-02-28,12.7039229177171
"147",2021-03-31,34.9099437939003
"148",2021-04-30,19.2521669523558
"149",2021-05-31,116.850231844001
"150",2021-06-30,102.939150086604
"151",2021-07-31,284.071890078485
"152",2021-08-31,68.8032091478817
"153",2021-09-30,40.9886162204202
"154",2021-10-31,13.9623825409217
"155",2021-11-30,4.20227041940961
"156",2021-12-31,28.2118274015374
